address,area,city,state,country,hotel_star_rating,pageurl,property_name,property_type,site_review_rating
"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Others,Manali,Himachal Pradesh,India,2,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/4295794325445028988/na/hq/,Baragarh Regency,Resort,4
"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Sushant Lok,Gurgaon,Haryana,India,0,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/5361191673431822820/na/hq/,Asian Suites A- 585,Guest House,4.5
"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Calangute Area,Goa,Goa,India,0,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/6611126874555866446/na/hq/,Bevvan Resort,Resort,2.5
Simsa,Village Simsa,Manali,Himachal Pradesh,India,2,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/5894044798937879118/na/hq/,Apple Inn Cottage,Cottage,5
"8180 Street No.-6,Arakashan Road,Paharganj",Paharganj,Delhi,Delhi,India,2,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/7309398067370029045/na/hq/,Anmol Hotel Pvt.Ltd,Hotel,2.8
"Baga Beach, Calangute, Goa",Baga Area,Goa,Goa,India,3,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/3768679679353292888/na/hq/,Baia Do Sol (A Boutique Beach Resort),Resort,3.9
"K-69, Kalkaji",Kalkaji,Delhi,Delhi,India,2,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/4322682276577382235/na/hq/,Balaji Residency,Hotel,
"2638-2642 Gurudwara Road,Karol Bagh",Karol Bagh Area,Delhi,Delhi,India,3,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/5862309908432478435/na/hq/,BB Palace-A Boutique Hotel,Hotel,4
"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Others,Jaipur,Rajasthan,India,1,http://www.goibibo.com/hotels/detail/Jaipur/hn/4278754392716898526/2733323897862092484/na/hq/,Art Inn Homestay,Homestay,3
51 Amri Nagar south ex,South Extension,Delhi,Delhi,India,0,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/6345938336663021173/na/hq/,Arjun Homestay,Homestay,
"Ashirwad Enclave, Lakhimi Path, Jonali, R.G.Baruah Road,",Rg Baruah Road,Guwahati,Assam,India,0,http://www.goibibo.com/hotels/detail/Guwahati/hn/3518826103379012321/8397644275697850789/na/hq/,Ashirwad Homestay,Hotel,4.3
"Near Botanical Garden Metro Station,Sec  -  46",Others,NOIDA,Uttar Pradesh,India,0,http://www.goibibo.com/hotels/detail/NOIDA/hn/2311763083662248959/1894799850509469749/na/hq/,Apna Ghar- Sector 46,Guest House,
"429, Sector-6, Rohini, Near Vidha Jain Public School",Rohini,Delhi,Delhi,India,0,http://www.goibibo.com/hotels/detail/Delhi/hn/2820046943342890302/2584506122328817632/na/hq/,Baba Guest House,Guest House,
"Village Gurdorh, Naggar Road, Manali,Distt. Kullu Himachal Pradesh",Naggar Road,Manali,Himachal Pradesh,India,4,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/6092125296876225276/na/hq/,Baragarh Villa,Villa,
"Titawada, Nerul Bardez Goa",Candolim Area,Goa,Goa,India,0,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/7895665242797159088/na/hq/,Annapurna Guest House,Guest House,4.6
"Plot No:2,Elcot Avenue,Rajiv Gandhi Road,(OMR),Near Sozhanganallur Signal, before aavin milk factory",Thuraipakkam,Chennai,Tamil Nadu,India,0,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/5838534518404123141/na/hq/,ARAVINDAR RESIDENCY,Hotel,3.6
"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",Banaskantha,Chitrasani,Gujarat,India,3,http://www.goibibo.com/hotels/detail/Chitrasani/hn/8270415669473346029/858028934194279477/na/hq/,Balaram Palace Resort,Palace,1
"Village Savti, Dharampuri, P.O. Daulatpura, Distt. Khandar",Ranthambhore,Sawai Madhopur,Rajasthan,India,0,http://www.goibibo.com/hotels/detail/Sawai Madhopur/hn/8314560716455433059/7084914320933501817/na/hq/,Bhadrawati Safari Lodge,Lodge,
"NT Mall Road, Dalhousie ,176304(HP)",The Mall,Dalhousie,Himachal Pradesh,India,3,http://www.goibibo.com/hotels/detail/Dalhousie/hn/3084536095241319598/6911500444483426513/na/hq/,AS Clarks inn,Hotel,4.2
"Mullassery Building, Near Pallathuruthy Bridge, AC Road, Alleppey, Kerala, 688003",Others,Alleppey,Kerala,India,0,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/5652179225838307603/na/hq/,"Beautiful Alleppey Tours Two Bedroom, Alleppey",Houseboat,
Sinhgad road pune,Pune Bangalore Highway,Pune,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/500962097627242132/na/hq/,Ashiyana,Homestay,
"Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA.",Railway Station Rd,Nanded,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Nanded/hn/3336688138651690805/5937809647717405578/na/hq/,ASHIRWAD LODGING,Hotel,3.2
"Dadanpatrabar, Mandarmani.",Beach Road,Mandarmani,West Bengal,India,0,http://www.goibibo.com/hotels/detail/Mandarmani/hn/1111111239243616096/5656800341938213987/na/hq/,Aqua Marina Drive Inn,Resort,4.5
"Nagalore road  Opp petrol bunk,",Yercaud Main Town,Yercaud,Tamil Nadu,India,0,http://www.goibibo.com/hotels/detail/Yercaud/hn/1639542103726057691/6879118792976575959/na/hq/,Annai Illam Guest House,Guest House,4.6
"Shuru, PO Prini, Manali",Village Prini,Manali,Himachal Pradesh,India,0,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/5005574505750363684/na/hq/,Bella Marina Villa,Hotel,4
"plot no 56, ghata village, gurgaon",Others,Gurgaon,Haryana,India,0,http://www.goibibo.com/hotels/detail/Gurgaon/hn/1466927038870613796/4889284663632476706/na/hq/,ATOM Guest House,Guest House,
"Bendemeer Group of House boat, Ghat No 7, Boulevard Road, Srinagar, Jammu and Kashmir",Dal Lake Area,Srinagar,Jammu and Kashmir,India,0,http://www.goibibo.com/hotels/detail/Srinagar/hn/5999885939075030137/9208544873636475502/na/hq/,Bendmeer Group of House Boat and Resorts,Houseboat,
"Gat no 1000, At post Dapode Khariv Bandhara, Taluka Velhe",Others,Pune,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/9012396774552836840/na/hq/,Balaji Resorts,Resort,
Near Central St Stand,Parshuram,Chiplun,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Chiplun/hn/9048186197474314615/2513089755769812885/na/hq/,Asha Sukha Nivas Laudge,Lodge,
"Road No. 2, Central Avenue,Kalyani Nagar",Kalyani Nagar,Pune,Maharashtra,India,4,http://www.goibibo.com/hotels/detail/Pune/hn/1554245012668028405/8178587430572124627/na/hq/,AR Suites Fontana Bay,Service Apartment,4.6
"Village Simsa, Kanyal Road",Village Simsa,Manali,Himachal Pradesh,India,3,http://www.goibibo.com/hotels/detail/Manali/hn/2242315224277940906/4478999961707006727/na/hq/,Atithi Cottages,Hotel,2.9
"# 598, 15th Cross, 35th Main,6th Phase, JP Nagar",Jp Nagar,Bangalore,Karnataka,India,4,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/1820244190174456963/na/hq/,Aurick Hotel,Hotel,4
"Near Bus Stand, Station Road, Bagalkot, Karnataka PIN 587101",Near Bus Stand,Bagalkot,Karnataka,India,1,http://www.goibibo.com/hotels/detail/Bagalkot/hn/2066191394474297388/2874679925250080798/na/hq/,Anugraha Deluxe Hotel,Hotel,
"Near New Bus Terminal, Main Road,Kalpetta, Wayanad",Kalpetta,Wayanad,Kerala,India,4,http://www.goibibo.com/hotels/detail/Wayanad/hn/6194322623629521587/6131019257183698007/na/hq/,Best Western Plus Ekobarn,Hotel,4.3
"Village Nadiali, P.O. Dharamgarh, Near Nabha Sabhib Gurudwara, Ajitgarh, Chandigarh",Others,Chandigarh,Punjab,India,0,http://www.goibibo.com/hotels/detail/Chandigarh/hn/1490240556082995568/6448459893533326885/na/hq/,Aura Vaseela,Resort,1.6
"Naddi, Dal Lake, Mcleod Ganj",Village Naddi,Mcleodganj,Himachal Pradesh,India,2,http://www.goibibo.com/hotels/detail/Mcleodganj/hn/1307280128191747221/2951423882431725933/na/hq/,Anupam Resorts,Resort,4.1
"Near La calypso casino, Saunta Waddo, Baga Beach",Baga Area,Goa,Goa,India,0,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/2023641376376684378/na/hq/,Atharv Coastal End Guest House,Guest House,3.4
Badrish Hotal Near Tapowan Choki,Laxman Jhula Area,Rishikesh,Uttarakhand,India,2,http://www.goibibo.com/hotels/detail/Rishikesh/hn/1546081981995124445/3149885811133745240/na/hq/,Badrish,Hotel,
"Adjacent Chakravarthy Theater, KPT St, Siva Nagar, Dharmavaram,Anantapu",Siva Nagar,Anantapur,Andhra Pradesh,India,0,http://www.goibibo.com/hotels/detail/Anantapur/hn/3996681253492714114/1287616541988898049/na/hq/,Balaji Inn,Hotel,
"Kilbury Forest Road,  Village Pangot, Nainital (approx 13Kms from Town)",Village Pangot,Nainital,Uttarakhand,India,4,http://www.goibibo.com/hotels/detail/Nainital/hn/4883398002803141725/4276967308691594885/na/hq/,Ashokas Naini Chalet,Resort,3.5
"#1, V H Road, Palakkad 678701",English Church Road,Palakkad,Kerala,India,0,http://www.goibibo.com/hotels/detail/Palakkad/hn/5880173016690161606/1844726861434833034/na/hq/,Apex Residency,Hotel,
"S.N Junction, Punnamada, Alappuzha",Finishing Point Road,Alleppey,Kerala,India,0,http://www.goibibo.com/hotels/detail/Alleppey/hn/31335703284729576/4427624344258898706/na/hq/,Bens Houseboats 4 Bed Room A/c DLX (4),Houseboat,
shahi hamdan colony zukroo,Others,Srinagar,Jammu and Kashmir,India,0,http://www.goibibo.com/hotels/detail/Srinagar/hn/5999885939075030137/3044211523768436435/na/hq/,BE MY GUEST,Guest House,
"No.7.Dharga Road, Pallavaram,","Airport Area, Pallavaram",Chennai,Tamil Nadu,India,2,http://www.goibibo.com/hotels/detail/Chennai/hn/4354390963378411938/8216672210062482108/na/hq/,AVNB Towers,Hotel,3.6
"No 6/16, munnekolalu extention, ashwathnagar, varthur hobli",Marathahalli,Bangalore,Karnataka,India,0,http://www.goibibo.com/hotels/detail/Bangalore/hn/6771549831164675055/1641169030347778861/na/hq/,ATITHI RESIDENCY - MARTHAHALLI,Hotel,4.3
"122 / 3, Near Bharma Temple",Brahma Temple Area,Pushkar,Rajasthan,India,0,http://www.goibibo.com/hotels/detail/Pushkar/hn/888442746688644020/594682091652515536/na/hq/,AROMA,Hotel,4.1
"Gimhavne, Dapoli",Gihavane,Dapoli Camp,Maharashtra,India,0,http://www.goibibo.com/hotels/detail/Dapoli Camp/hn/6802487720102970772/6974478456865030488/na/hq/,Bahar Homestay,Homestay,
"Beach Road, Calicut Pin - 673 032 Kerala, India",Kappad Beach,Calicut,Kerala,India,0,http://www.goibibo.com/hotels/detail/Calicut/hn/7186114167120052770/2421143569227330659/na/hq/,BEACH HOTEL,Hotel,
"House No. 681/1 , Demello Vaddo,Anjuna Beach Road,4th lane left from Starco Junction,Anjuna- Goa.",Candolim Area,Goa,Goa,India,0,http://www.goibibo.com/hotels/detail/Goa/hn/8717279093827200968/416154305420052842/na/hq/,Arjun Villa,Guest House,4.4
"christain basti , opposite passport seva kendra, walford",G.S. Road,Guwahati,Assam,India,3,http://www.goibibo.com/hotels/detail/Guwahati/hn/3518826103379012321/8739754099060775668/na/hq/,Awesome Palace,Guest House,4
"No.7 Sriram Nagar, Polur Road",Athiyanthal Village,Tiruvannamalai,Tamil Nadu,India,3,http://www.goibibo.com/hotels/detail/Tiruvannamalai/hn/87537878006825382/2992489734750525079/na/hq/,Arpanaa Hotel,Hotel,4.5
"Flat no 308,Block 2,Sarada Apartments II, Next lane to Axis Bank, Road No.1, Banjara Hills",Banjara Hills Area,Hyderabad,Andhra Pradesh,India,0,http://www.goibibo.com/hotels/detail/Hyderabad/hn/2162254155836171767/7910064814910133009/na/hq/,Athidhi Guest House,Guest House,
"J. Tata Road, Churchgate Reclamation   Opp Eros Cinema mumbai 400020",Marine Lines,Mumbai,Maharashtra,India,3,http://www.goibibo.com/hotels/detail/Mumbai/hn/4213513766539949483/2524150966719009867/na/hq/,Astoria Hotel,Hotel,
