state,city,name,type,distance from airport,distance from bus stand,distance from railway station,rating,no of rating,best month to visit,famous activities,prefer for friends,prefer for couple,prefer for family with children,prefer for family without children,famous activities with rating,image
Maharashtra,Mumbai,Gateway of India,Historical Monument,25.5,5.2,3.1,4.5,1580,October/November/February,Sightseeing,TRUE,TRUE,FALSE,TRUE,{'Sightseeing': 4.5},Gateway_of_India_Mumbai_Maharashtra.webp
Rajasthan,Jaipur,Hawa Mahal,Historical Palace,12.8,3.5,1.9,4.2,1250,October/November/March,Photography,TRUE,TRUE,FALSE,TRUE,{'Photography': 4.2},Hawa_Mahal_Jaipur_Rajasthan.webp
Kerala,Kochi,Fort Kochi,Historical Area,45.1,10.2,8.7,4.6,1800,September/October/November/December/January/February,Exploring/Cultural Activities/Food Tours,TRUE,TRUE,TRUE,TRUE,"{'Exploring': 4.5, 'Cultural Activities': 4.6, 'Food Tours': 4.3}",Fort_Kochi_Kochi_Kerala.webp
Goa,Panaji,Baga Beach,Beach,29.7,8.1,15.4,4,2100,October/November/December/January/February,Water Sports/Nightlife/Sunbathing,TRUE,TRUE,TRUE,TRUE,"{'Water Sports': 4.7, 'Nightlife': 4.4, 'Sunbathing': 4.1}",Baga_Beach_Panaji_Goa.webp
Karnataka,Mysuru,Mysore Palace,Historical Palace,14.5,2.3,0.8,4.8,2500,September/October/November/December/January/February/March,Sightseeing/Photography/Cultural Events,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.5, 'Photography': 4.2, 'Cultural Events': 4.5}",Mysore_Palace_Mysuru_Karnataka.webp
Tamil Nadu,Chennai,Marina Beach,Beach,18.3,6.7,4.2,3.8,1100,November/December/January/February,Relaxing/Walking/Street Food,TRUE,TRUE,TRUE,TRUE,"{'Relaxing': 3.5, 'Walking': 3.5, 'Street Food': 3.5}",Marina_Beach_Chennai_Tamil_Nadu.webp
Uttar Pradesh,Agra,Taj Mahal,Historical Monument,10.1,4.9,2.5,4.9,3000,October/November/February/March,Sightseeing/Photography,TRUE,TRUE,TRUE,TRUE,"{'Sightseeing': 4.5, 'Photography': 4.2}",
Himachal Pradesh,Shimla,Mall Road,Hill Station,22.6,1.5,2.8,4.3,1650,April/May/June/September/October,Shopping/Strolling/Scenic Views,TRUE,TRUE,TRUE,TRUE,"{'Shopping': 4.2, 'Strolling': 3.5, 'Scenic Views': 3.5}",Mall_Road_Shimla_Himachal_Pradesh.webp
Gujarat,Ahmedabad,Sabarmati Ashram,Historical Site,8.9,5.6,3.2,4.4,1400,October/November/December/January/February,Historical Exploration/Peaceful Retreat,TRUE,TRUE,TRUE,TRUE,"{'Historical Exploration': 3.5, 'Peaceful Retreat': 3.5}",Sabarmati_Ashram_Ahmedabad_Gujarat.webp
West Bengal,Kolkata,Victoria Memorial,Historical Monument,18.7,7.3,5.1,4.1,1300,October/November/February/March,Sightseeing/Museum Visits,TRUE,TRUE,FALSE,TRUE,"{'Sightseeing': 4.5, 'Museum Visits': 4.3}",Victoria_Memorial_Kolkata_West_Bengal.webp
